Name,Sustainable,Mercury,Description,In Season,Sources,Explanation
Raie,False,?,"Cartilaginous fish with ""wings"" and a long, thin tail. They are severely overfished and in decline. ",,"http://www.fishonline.org/fishfinder?fish=ray, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/",The MCS rates all rays as 5. Greenpeace has rays on its red list. The Monterey Bay Aquarium has no data. 
Requin,False,high,"Predatory cartilaginous fish. They are too rare and slow-reproducing to be a sustainable food source. Many sharks are killed just for their fins, which are cut off with the shark thrown overboard to die. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=57, http://www.fishonline.org/fishfinder?fish=shark, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates some sharks as ""Good Alternative"", but the MCS rates all sharks as 5, and they are are on the Greenpeace red list. "
Saint-Pierre/Zeus Faber,False,?,"Recognizable by a dark spot on its side and a spiny crest, the john dory or peter's fish is vulnerable and often taken as bycatch from trawls. ",,http://www.fishonline.org/fishfinder?fish=dory,The MCS rates john dory as 3. 
Sandre,True,?,"Sometimes called a pike-perch, the zander is a predatory fish that lives in rivers and lakes in Europe. It is a popular game and food fish. Zander not native to the UK and is considered an invasive species there. ",,http://www.iucnredlist.org/apps/redlist/details/20860/0,"The Monterey Bay Aquarium, Greenpeace, the MCS, and FishWatch have no data. The IUCN rates Zander as ""Least Concern"". "
Sardine (Méditerranée),False,low,Small oily fish often found in tins. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=51, http://www.fishonline.org/fishfinder?fish=sardine, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates Mediterranean sardines as ""Avoid"" but Pacific sardines as ""Best Choice"". The MCS rates Atlantic sources as 2-3. "
Sardine (Autres),True,low,Small oily fish often found in tins. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=51, http://www.fishonline.org/fishfinder?fish=sardine, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates Mediterranean sardines as ""Avoid"" but Pacific sardines as ""Best Choice"". The MCS rates Atlantic sources as 2-3. "
Saumon (Aquaculture Bio),True,low,The MCS rates most farmed salmon as a bad choice but makes an exception for organic-certified European salmon.,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=49, http://www.fishonline.org/fishfinder.php?fish=salmon, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS lists wild-caught salmon as a 5, and rates most farmed salmon as a 3. The Monterey Bay Aquarium lists the same farmed salmon as Avoid, making it not recommended, but does specifically mention Alaskan and Coho as good options. "
Saumon (Coho / Saumon Argenté US/Canadien),False,low,The Monterey Bay Aquarium lists farmed US Coho as a Best Choice and wild Canadian Coho as a good alternative.,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=49, http://www.fishonline.org/fishfinder.php?fish=salmon, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS lists wild-caught salmon as a 5, and rates most farmed salmon as a 3. The Monterey Bay Aquarium lists the same farmed salmon as Avoid, making it not recommended, but does specifically mention Alaskan and Coho as good options. "
Saumon (Alaska),True,low,"Salmon stocks in Alaska are very carefully managed and monitored, which makes this a very sustainable option.","february, march, april, may, june, july, august","http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=49, http://www.fishonline.org/fishfinder.php?fish=salmon, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS lists wild-caught salmon as a 5, and rates most farmed salmon as a 3. The Monterey Bay Aquarium lists the same farmed salmon as Avoid, making it not recommended, but does specifically mention Alaskan and Coho as good options. "
Saumon (Autres),False,low,The environmental impact of most salmon farming and fishing is high.,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=49, http://www.fishonline.org/fishfinder.php?fish=salmon, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The MCS lists wild-caught salmon as a 5, and rates most farmed salmon as a 3. The Monterey Bay Aquarium lists the same farmed salmon as Avoid, making it not recommended, but does specifically mention Alaskan and Coho as good options. "
Sole (Certifié MSC),True,low,,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=62, http://www.fishonline.org/fishfinder?fish=sole, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists Pacific and MSC certified sole as a ""Good Alternative"". The MCS lists Atlantic soles as 2-5 depending on the specific stock area and type. "
Sole (Pacifique),True,low,,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=62, http://www.fishonline.org/fishfinder?fish=sole, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists Pacific and MSC certified sole as a ""Good Alternative"". The MCS lists Atlantic soles as 2-5 depending on the specific stock area and type. "
Sole (Autres),False,low,,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=62, http://www.fishonline.org/fishfinder?fish=sole, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists Pacific and MSC certified sole as a ""Good Alternative"". The MCS lists Atlantic soles as 2-5 depending on the specific stock area and type. "
Tacaud,True,?,"Living on the European coast, pouting is mostly caught as bycatch. Eat it instead of having it thrown back or ground into fishmeal. ",,http://www.fishonline.org/fishfinder?fish=pouting,The MCS rates pouting as 2. The Monterey Bay Aquarium and Greenpeace have no data. 
"Thon (Bonite, Jaune et Blanc du Pacifique pêché à la traîne)",True,high,"A family of large predatory fish with very dark meat. Look for these kinds of tuna from the Pacific caught by troll/pole-and-line fishing, which is more or less sustainable.",,"http://www.montereybayaquarium.org//cr/SeafoodWatch/web/sfw_factsheet.aspx?gid=74, http://www.fishonline.org/fishfinder?fish=tuna, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","Skipjack, Yellowfin and Albacore are rated by the MCS as 2-3 in certain conditions. Other species, especially Bluefin, are rated as unsustainable. "
Thon (Autres),False,high,"A family of large predatory fish with very dark meat. Other tuna, especially bluefin, is heavily endangered and very unsustainable.",,"http://www.montereybayaquarium.org//cr/SeafoodWatch/web/sfw_factsheet.aspx?gid=74, http://www.fishonline.org/fishfinder?fish=tuna, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","Skipjack, Yellowfin and Albacore are rated by the MCS as 2-3 in certain conditions. Other species, especially Bluefin, are rated as unsustainable. "
Tilapia,True,low,"A popular farmed white fish. Choose tilapia farmed in well-managed pond systems insulated from natural bodies of water is very sustainable. Look for organic Tilapia or fish produced in ""closed recirculation systems"". ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=69, http://www.fishonline.org/fishfinder?fish=tilapia, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",The Monterey Bay Aquarium lists tilapia farmed in recirculating tanks or well-managed pond systems as a Best Choice and others as a good alternative. The MCS rates tilapia as a 1-2. 
Truite (Truite arc-en-ciel),True,low,A farmed freshwater fish with reddish flesh that is a popular alternative to salmon.,,"http://www.montereybayaquarium.org/cr/SeafoodWatch/web/sfw_factsheet.aspx?fid=64, http://www.fishonline.org/fishfinder?fish=rainbow, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","Monterey Bay Aquarium states that farmed rainbow trout are a good choice. The MCS rate farmed rainbow trout as 1-3 on a scale of 5, with 1 for organic farmed trout. FishWatch and Greenpeace have no data."
Truite (Autres),False,low,Sea and lake trout are not fished sustainably.,,"http://www.montereybayaquarium.org/cr/SeafoodWatch/web/sfw_factsheet.aspx?fid=236, http://www.fishonline.org/fishfinder?fish=trout, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",Monterey Bay Aquarium gives a negative picture for sea trout. MCS rate it 3. FishWatch and Greenpeace have no data.
Turbot (Aquaculture),True,?,"A large flatfish prized for its white, subtly-flavoured flesh. ",,http://www.fishonline.org/fishfinder?fish=turbot,"The MCS rates all wild caught turbot as 3-5, but (onshore open circuit) farmed turbot as 2. "
Turbot (Prise Sauvage),False,?,"A large flatfish prized for its white, subtly-flavoured flesh. ",,http://www.fishonline.org/fishfinder?fish=turbot,"The MCS rates all wild caught turbot as 3-5, but (onshore open circuit) farmed turbot as 2. "
Vivaneau,False,high,"A number of reef-dwelling fish species, all overfished. The fishing of snappers, be they red, crimson or otherwise coloured, is also associated with a great deal of bycatch and reef destruction. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=61, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium list a large number of snapper species, some as ""Avoid"", others ""Good Alternative"". The MCS previously rated crimson snapper as 3 and red snapper as 5 and FishWatch stated that both red and vermilion snapper is overfished. Finally, red snapper is on the Greenpeace red list. In conclusion, while there are some types of snapper that may be somewhat sustainable, it is more practical to label all of them as unsustainable. "
Écrevisse (États-Unis),True,low,"River-dwelling crustaceans resembling small lobsters, commonly farmed in ponds. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=113, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium states that US farmed crayfish are a ""Best Choice"", but to ""Avoid"" imported ones. The MCS, FishWatch and Greenpeace have no data. So while this view is probably too US-centric, in the absence of further information, US crayfish is rated as sustainable and all other crayfish is not. "
Écrevisse (Autres),False,low,"River-dwelling crustaceans resembling small lobsters, commonly farmed in ponds. Crayfish from China in particular are not recommended.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=113, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium states that US farmed crayfish are a ""Best Choice"", but to ""Avoid"" imported ones. The MCS, FishWatch and Greenpeace have no data. So while this view is probably too US-centric, in the absence of further information, US crayfish is rated as sustainable and all other crayfish is not. "
